PROTID	X20161205_SAMPLE_1_ADJNSAF	X20161205_SAMPLE_11_ADJNSAF	X20161205_SAMPLE_11A_ADJNSAF	X20161205_SAMPLE_12_ADJNSAF	X20161205_SAMPLE_12A_ADJNSAF	X20161205_SAMPLE_16_ADJNSAF	X20161205_SAMPLE_16A_ADJNSAF	X20161205_SAMPLE_19_ADJNSAF	X20161205_SAMPLE_19A_ADJNSAF	X20161205_SAMPLE_1A_ADJNSAF	X20161205_SAMPLE_20_ADJNSAF	X20161205_SAMPLE_20A_ADJNSAF	X20161205_SAMPLE_24_ADJNSAF	X20161205_SAMPLE_24A_ADJNSAF	X20161205_SAMPLE_27_ADJNSAF	X20161205_SAMPLE_27A_ADJNSAF	X20161205_SAMPLE_28_ADJNSAF	X20161205_SAMPLE_28A_ADJNSAF	X20161205_SAMPLE_3_ADJNSAF	X20161205_SAMPLE_32_ADJNSAF	X20161205_SAMPLE_32A_ADJNSAF	X20161205_SAMPLE_35_ADJNSAF	X20161205_SAMPLE_35A_ADJNSAF	X20161205_SAMPLE_36_ADJNSAF	X20161205_SAMPLE_36A_ADJNSAF	X20161205_SAMPLE_3A_ADJNSAF	X20161205_SAMPLE_4_ADJNSAF	X20161205_SAMPLE_40_ADJNSAF	X20161205_SAMPLE_40A_ADJNSAF	X20161205_SAMPLE_43_ADJNSAF	X20161205_SAMPLE_43A_ADJNSAF	X20161205_SAMPLE_44_ADJNSAF	X20161205_SAMPLE_44A_ADJNSAF	X20161205_SAMPLE_48_ADJNSAF	X20161205_SAMPLE_48A_ADJNSAF	X20161205_SAMPLE_4A_ADJNSAF	X20161205_SAMPLE_51_ADJNSAF	X20161205_SAMPLE_51A_ADJNSAF	X20161205_SAMPLE_52_ADJNSAF	X20161205_SAMPLE_52A_ADJNSAF	X20161205_SAMPLE_56_ADJNSAF	X20161205_SAMPLE_56A_ADJNSAF	X20161205_SAMPLE_8_ADJNSAF	X20161205_SAMPLE_8A_ADJNSAF
CHOYP_1433G.2.2|m.63450	27	28	26	29	25	30	30	28	31	28	26	28	32	24	30	23	49	26	34	31	30	12	13	31	30	28	32	32	31	27	22	26	21	35	28	24	32	22	31	24	34	36	26	26
CHOYP_AADAT.1.1|m.12672	4	3	4	3	2	4	2	3	2	2	4	1	3	1	3	1	5	1	2	3	4	1	1	5	4	3	3	3	1	1	2	3	3	2	2	1	4	2	3	2	2	2	3	2
CHOYP_ALF.3.3|m.66837	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	3	0	0	2	3	0	0	1	1	0	0	2	3	3	2	0	4	2	4	4	2	2	0	0
CHOYP_FUT8.1.1|m.9231	2	0	1	1	0	0	0	3	4	5	1	0	2	1	2	2	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	2	4	2	1	0	0	1	1	2	1	0	1	1
CHOYP_FYN.1.1|m.44312	12	8	9	7	10	8	8	5	9	11	9	9	7	8	8	7	8	10	5	11	8	1	2	10	8	11	8	10	12	4	11	8	10	8	9	7	7	10	10	13	10	10	10	10
CHOYP_G6PD.2.2|m.46923	22	15	12	18	18	18	14	17	14	18	15	13	10	7	13	12	17	17	16	14	14	2	3	13	15	0	23	16	17	8	4	18	14	19	26	20	12	10	18	21	21	23	15	21
CHOYP_GABPA.1.1|m.15077	1	1	2	2	0	3	1	2	1	1	2	1	0	1	0	1	2	1	2	1	2	0	0	2	2	3	2	2	2	0	1	0	0	3	2	3	0	0	2	1	3	2	3	0
CHOYP_GACZ.1.1|m.42619	0	2	1	2	2	1	1	0	1	0	2	2	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
CHOYP_GAK.1.1|m.7017	4	3	2	2	4	2	4	4	2	6	6	5	1	2	0	2	3	6	2	3	5	0	0	3	2	3	5	4	5	0	0	1	0	1	3	4	3	2	0	1	5	4	6	5
CHOYP_GALT2.1.1|m.54493	4	1	1	0	0	0	0	3	2	5	1	1	0	0	4	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	5	3	2	3	1	0	1	1	2	1	1	1	1
CHOYP_GAR1.1.2|m.9449	6	3	6	7	6	2	4	7	7	8	7	5	2	3	4	5	8	5	5	6	7	0	0	6	5	7	7	5	2	0	0	1	4	4	6	7	3	2	3	3	5	4	5	6
CHOYP_GBB.2.2|m.35274	4	3	3	4	6	3	2	4	3	5	5	3	1	2	0	1	5	5	4	4	3	0	0	5	2	4	3	4	4	0	0	1	3	3	5	4	3	2	0	1	4	7	3	3
CHOYP_GBLP.6.7|m.57427	19	21	22	21	23	19	19	20	21	21	20	21	17	21	17	17	20	21	19	25	25	8	6	19	23	20	20	24	24	7	10	17	21	22	24	19	17	17	17	23	22	26	22	19
CHOYP_AMACR.1.1|m.21950	2	2	1	1	1	0	0	0	0	1	1	2	1	1	2	1	1	1	2	0	0	0	1	2	1	0	2	0	0	0	1	1	0	0	2	1	1	1	2	2	0	1	0	1
CHOYP_GCC2.1.1|m.17251	2	1	1	1	2	1	1	0	1	2	0	2	1	1	1	1	2	2	1	2	1	0	0	0	1	1	1	1	1	2	0	1	1	1	2	2	0	1	1	1	2	3	1	1
CHOYP_GCKR.1.1|m.51743	1	1	2	2	2	2	3	0	2	0	0	2	1	3	2	2	2	4	0	0	0	0	0	0	0	0	2	0	1	0	1	1	3	2	5	1	2	2	2	2	1	2	2	2
CHOYP_GCN1L.1.1|m.1352	35	42	42	51	53	47	41	42	46	29	54	55	39	35	36	35	52	55	43	42	40	11	12	42	42	41	33	46	39	16	12	27	30	35	37	41	35	38	47	34	33	36	38	47
CHOYP_GCSP.1.1|m.46644	27	13	15	17	21	14	19	13	17	22	11	21	11	17	7	8	15	14	16	12	14	1	1	15	16	18	24	18	13	2	4	7	12	16	21	27	11	12	17	17	23	20	15	23
CHOYP_GCST.1.1|m.16047	12	8	8	7	10	9	6	5	8	9	5	7	8	5	6	6	10	8	10	8	8	1	1	11	9	8	12	11	11	2	2	2	5	10	8	10	9	7	12	6	11	10	7	8
CHOYP_GD1L1.1.1|m.11963	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1
CHOYP_GDAP2.1.1|m.57049	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1
CHOYP_GDE.1.1|m.54948	4	8	7	11	7	8	5	7	8	6	7	5	4	3	5	5	11	7	5	3	4	0	0	12	7	6	2	7	6	9	3	6	4	6	6	10	10	11	8	10	8	4	6	6
CHOYP_GELS2.2.2|m.30443	62	61	57	54	62	51	60	49	51	58	57	56	60	60	51	53	55	51	59	77	74	43	40	77	80	56	62	96	84	48	51	64	67	73	74	67	67	65	70	68	96	75	56	64
CHOYP_GEMIN5.2.2|m.59078	0	1	0	0	0	3	1	1	0	1	0	2	0	1	0	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0
